"filename", "language", "TypeScript", "JSON", "HTML", "SCSS", "JSON with Comments", "TypeScript React", "CSS", "comment", "blank", "total"
"f:\Web-Dev\FlightPlanner\client\src\pages\Login\login.tsx", "TypeScript React", 0, 0, 0, 0, 0, 76, 0, 4, 11, 91
"f:\Web-Dev\FlightPlanner\client\src\pages\Register\register.scss", "SCSS", 0, 0, 0, 76, 0, 0, 0, 0, 15, 91
"f:\Web-Dev\FlightPlanner\client\src\pages\Register\register.tsx", "TypeScript React", 0, 0, 0, 0, 0, 104, 0, 7, 15, 126
"f:\Web-Dev\FlightPlanner\client\src\pages\SearchResults\searchResults.scss", "SCSS", 0, 0, 0, 33, 0, 0, 0, 1, 5, 39
"f:\Web-Dev\FlightPlanner\client\src\pages\SearchResults\searchResults.tsx", "TypeScript React", 0, 0, 0, 0, 0, 27, 0, 2, 6, 35
"f:\Web-Dev\FlightPlanner\client\src\styles\ScrollBarStyles.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 3, 3, 17
"f:\Web-Dev\FlightPlanner\client\src\themes.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"f:\Web-Dev\FlightPlanner\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\Web-Dev\FlightPlanner\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"f:\Web-Dev\FlightPlanner\client\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"f:\Web-Dev\FlightPlanner\client\vite.config.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 120, 4292, 17, 990, 21, 902, 0, 53, 279, 6674
